TOUCHPOINT_ID,CUSTOMER_ID,SESSION_ID,TOUCHPOINT_TIMESTAMP,TOUCHPOINT_TYPE,CHANNEL,CAMPAIGN_ID,PAGES_VIEWED,CART_ADDITIONS,CART_VALUE,CONVERTED_FLAG,TRANSACTION_ID,DEVICE_TYPE,STORE_ID
1042,40,S100478,2024-09-30,Store Visit,Walk-in,N/A,1,1,209.98,True,100478.0,InStore,1007.0
1043,69,S100537,2024-10-01,Store Visit,Walk-in,N/A,4,1,89.99,True,100537.0,InStore,1026.0
1044,92,S100542,2024-10-24,Store Visit,Walk-in,N/A,9,4,94.99,True,100542.0,InStore,1017.0
1045,91,S100559,2024-10-17,Store Visit,Walk-in,N/A,9,0,159.99,True,100559.0,InStore,1021.0
1046,53,S100575,2024-10-07,Store Visit,Walk-in,N/A,5,3,269.98,True,100575.0,InStore,1046.0
1047,77,S100582,2024-10-10,Store Visit,Walk-in,N/A,9,3,429.98,True,100582.0,InStore,1018.0
1048,70,S100588,2024-10-04,Store Visit,Walk-in,N/A,5,2,129.99,True,100588.0,InStore,1046.0
1049,70,S100606,2024-10-02,Store Visit,Walk-in,N/A,2,0,317.96,True,100606.0,InStore,1046.0
1050,54,S100608,2024-10-17,Store Visit,Walk-in,N/A,2,2,89.99,True,100608.0,InStore,1037.0
1051,9,S100615,2024-10-11,Store Visit,Walk-in,N/A,3,5,274.97,True,100615.0,InStore,1036.0
1052,60,S100623,2024-10-06,Store Visit,Walk-in,N/A,1,0,154.98,True,100623.0,InStore,1012.0
1053,54,S100624,2024-10-14,Store Visit,Walk-in,N/A,5,3,99.99,True,100624.0,InStore,1031.0
1054,18,S100632,2024-10-06,Store Visit,Walk-in,128.0,3,0,299.98,True,100632.0,InStore,1040.0
1055,37,S100645,2024-10-22,Store Visit,Walk-in,N/A,3,0,99.99,True,100645.0,InStore,1025.0
1056,59,S100652,2024-10-23,Store Visit,Walk-in,N/A,5,2,229.99,True,100652.0,InStore,1025.0
1057,59,S100654,2024-10-05,Store Visit,Walk-in,114.0,4,1,84.99,True,100654.0,InStore,1045.0
1058,38,S100662,2024-10-07,Store Visit,Walk-in,N/A,10,3,309.98,True,100662.0,InStore,1003.0
1059,12,S100665,2024-10-08,Store Visit,Walk-in,N/A,10,4,494.97,True,100665.0,InStore,1047.0
1060,91,S100744,2024-11-18,Store Visit,Walk-in,N/A,4,0,319.97,True,100744.0,InStore,1015.0
1061,14,S100757,2024-11-10,Store Visit,Walk-in,112.0,1,3,109.98,True,100757.0,InStore,1024.0
1062,30,S100763,2024-11-13,Store Visit,Walk-in,N/A,5,2,599.98,True,100763.0,InStore,1028.0
1063,90,S100767,2024-11-01,Store Visit,Walk-in,N/A,8,3,44.99,True,100767.0,InStore,1003.0
1064,24,S100768,2024-11-25,Store Visit,Walk-in,N/A,2,5,129.99,True,100768.0,InStore,1032.0
1065,38,S100787,2024-11-03,Store Visit,Walk-in,N/A,2,4,129.99,True,100787.0,InStore,1038.0
1066,49,S100793,2024-11-05,Store Visit,Walk-in,N/A,10,1,354.97,True,100793.0,InStore,1039.0
1067,78,S100803,2024-11-04,Store Visit,Walk-in,N/A,5,1,319.97,True,100803.0,InStore,1043.0
1068,31,S100811,2024-11-26,Store Visit,Walk-in,N/A,9,1,299.99,True,100811.0,InStore,1010.0
1069,75,S100843,2024-11-07,Store Visit,Walk-in,N/A,9,5,89.99,True,100843.0,InStore,1038.0
1070,91,S100849,2024-11-05,Store Visit,Walk-in,N/A,3,0,374.96,True,100849.0,InStore,1020.0
1071,70,S100851,2024-11-28,Store Visit,Walk-in,N/A,9,4,119.98,True,100851.0,InStore,1039.0
1072,28,S100856,2024-11-14,Store Visit,Walk-in,112.0,6,4,49.99,True,100856.0,InStore,1004.0
1073,78,S100861,2024-11-27,Store Visit,Walk-in,112.0,1,1,84.99,True,100861.0,InStore,1005.0
1074,42,S100873,2024-11-21,Store Visit,Walk-in,N/A,9,1,289.96,True,100873.0,InStore,1004.0
1075,72,S100949,2024-12-29,Store Visit,Walk-in,N/A,5,1,229.99,True,100949.0,InStore,1016.0
1076,97,S100970,2024-12-05,Store Visit,Walk-in,113.0,3,1,169.98,True,100970.0,InStore,1047.0
1077,32,S100976,2024-12-12,Store Visit,Walk-in,N/A,6,3,159.99,True,100976.0,InStore,1012.0
1078,57,S100988,2024-12-22,Store Visit,Walk-in,N/A,1,4,434.98,True,100988.0,InStore,1025.0
1079,81,S101035,2024-12-06,Store Visit,Walk-in,N/A,10,2,299.99,True,101035.0,InStore,1045.0
1080,10,S101039,2024-12-19,Store Visit,Walk-in,N/A,6,1,679.96,True,101039.0,InStore,1011.0
1081,22,S101054,2024-12-19,Store Visit,Walk-in,N/A,2,5,129.99,True,101054.0,InStore,1030.0
1082,21,S100554,2024-10-22,Store Visit,Walk-in,N/A,10,5,34.99,True,100554.0,InStore,1041.0
1083,95,S100590,2024-10-04,Store Visit,Walk-in,N/A,5,0,69.99,True,100590.0,InStore,1043.0
1084,38,S100602,2024-10-12,Store Visit,Walk-in,N/A,7,3,99.99,True,100602.0,InStore,1004.0
1085,36,S100610,2024-10-29,Store Visit,Walk-in,N/A,10,0,149.97,True,100610.0,InStore,1001.0
1086,85,S100760,2024-11-18,Store Visit,Walk-in,N/A,4,3,389.98,True,100760.0,InStore,1020.0
1087,29,S100774,2024-11-25,Store Visit,Walk-in,N/A,3,0,85.98,True,100774.0,InStore,1038.0
1088,61,S100939,2024-12-28,Store Visit,Walk-in,N/A,7,2,192.98,True,100939.0,InStore,1006.0
1089,51,S100964,2024-12-02,Store Visit,Walk-in,N/A,8,0,212.98,True,100964.0,InStore,1025.0
1090,28,S101012,2024-12-26,Store Visit,Walk-in,N/A,3,1,119.98,True,101012.0,InStore,1006.0
1091,100,S101018,2024-12-10,Store Visit,Walk-in,N/A,10,1,134.99,True,101018.0,InStore,1031.0
1092,35,S101042,2024-12-26,Store Visit,Walk-in,N/A,6,0,69.99,True,101042.0,InStore,1005.0
1093,82,S101057,2024-12-17,Store Visit,Walk-in,N/A,6,4,74.99,True,101057.0,InStore,1001.0
1094,40,S101058,2024-12-22,Store Visit,Walk-in,N/A,4,2,459.98,True,101058.0,InStore,1012.0
1095,68,S101062,2024-12-30,Store Visit,Walk-in,112.0,10,1,134.99,True,101062.0,InStore,1031.0
1096,64,S101132,2025-01-22,Store Visit,Walk-in,N/A,6,2,189.99,True,101132.0,InStore,1009.0
1097,9,S101148,2025-01-28,Store Visit,Walk-in,N/A,6,2,139.99,True,101148.0,InStore,1032.0
1098,53,S101149,2025-01-14,Store Visit,Walk-in,N/A,4,4,229.99,True,101149.0,InStore,1009.0
1099,56,S101151,2025-01-03,Store Visit,Walk-in,N/A,10,4,84.99,True,101151.0,InStore,1020.0
1100,25,S101159,2025-01-12,Store Visit,Walk-in,N/A,7,3,134.99,True,101159.0,InStore,1025.0
1101,27,S101167,2025-01-22,Store Visit,Walk-in,113.0,5,4,224.98,True,101167.0,InStore,1025.0
1102,14,S101181,2025-01-05,Store Visit,Walk-in,N/A,8,4,689.97,True,101181.0,InStore,1026.0
1103,18,S101188,2025-01-16,Store Visit,Walk-in,N/A,10,3,119.98,True,101188.0,InStore,1014.0
1104,17,S101192,2025-01-01,Store Visit,Walk-in,N/A,8,5,172.98,True,101192.0,InStore,1036.0
1105,62,S101204,2025-01-22,Store Visit,Walk-in,N/A,8,3,259.98,True,101204.0,InStore,1035.0
1106,71,S101205,2025-01-03,Store Visit,Walk-in,N/A,2,2,44.99,True,101205.0,InStore,1011.0
1107,87,S101226,2025-01-12,Store Visit,Walk-in,N/A,2,2,164.99,True,101226.0,InStore,1021.0
1108,42,S101275,2025-02-28,Store Visit,Walk-in,N/A,7,1,94.99,True,101275.0,InStore,1002.0
1109,76,S101276,2025-02-24,Store Visit,Walk-in,N/A,3,0,264.98,True,101276.0,InStore,1023.0
1110,82,S101293,2025-02-26,Store Visit,Walk-in,N/A,4,1,319.97,True,101293.0,InStore,1043.0
1111,28,S101295,2025-02-11,Store Visit,Walk-in,N/A,2,0,719.95,True,101295.0,InStore,1005.0
1112,73,S101306,2025-02-28,Store Visit,Walk-in,N/A,8,5,177.97,True,101306.0,InStore,1020.0
1113,11,S101309,2025-02-16,Store Visit,Walk-in,N/A,2,0,89.99,True,101309.0,InStore,1047.0
1114,61,S101340,2025-02-28,Store Visit,Walk-in,N/A,10,3,94.99,True,101340.0,InStore,1003.0
1115,11,S101344,2025-02-20,Store Visit,Walk-in,N/A,10,2,189.99,True,101344.0,InStore,1032.0
1116,85,S101346,2025-02-11,Store Visit,Walk-in,N/A,4,1,74.99,True,101346.0,InStore,1022.0
1117,51,S101347,2025-02-13,Store Visit,Walk-in,N/A,6,3,179.97,True,101347.0,InStore,1045.0
1118,11,S101354,2025-02-25,Store Visit,Walk-in,N/A,10,3,159.99,True,101354.0,InStore,1031.0
1119,54,S101360,2025-02-17,Store Visit,Walk-in,N/A,2,1,329.96,True,101360.0,InStore,1042.0
1120,48,S101367,2025-02-25,Store Visit,Walk-in,N/A,2,0,204.98,True,101367.0,InStore,1025.0
1121,35,S101383,2025-02-23,Store Visit,Walk-in,N/A,6,0,99.99,True,101383.0,InStore,1001.0
1122,11,S101385,2025-02-05,Store Visit,Walk-in,116.0,2,5,139.99,True,101385.0,InStore,1031.0
1123,78,S101397,2025-02-15,Store Visit,Walk-in,N/A,6,0,249.99,True,101397.0,InStore,1043.0
1124,39,S101404,2025-02-10,Store Visit,Walk-in,N/A,5,2,77.98,True,101404.0,InStore,1033.0
1125,1,S101416,2025-02-01,Store Visit,Walk-in,N/A,7,1,299.98,True,101416.0,InStore,1015.0
1126,57,S101420,2025-02-11,Store Visit,Walk-in,N/A,3,1,399.96,True,101420.0,InStore,1027.0
1127,67,S101427,2025-02-04,Store Visit,Walk-in,N/A,3,0,134.99,True,101427.0,InStore,1001.0
1128,28,S101494,2025-03-10,Store Visit,Walk-in,N/A,6,1,234.97,True,101494.0,InStore,1006.0
1129,44,S101500,2025-03-24,Store Visit,Walk-in,N/A,5,1,299.99,True,101500.0,InStore,1008.0
1130,27,S101510,2025-03-08,Store Visit,Walk-in,N/A,2,2,39.99,True,101510.0,InStore,1041.0
1131,10,S101530,2025-03-01,Store Visit,Walk-in,N/A,9,0,49.99,True,101530.0,InStore,1009.0
1132,16,S101538,2025-03-16,Store Visit,Walk-in,N/A,6,4,289.97,True,101538.0,InStore,1026.0
1133,76,S101540,2025-03-06,Store Visit,Walk-in,N/A,6,5,379.98,True,101540.0,InStore,1025.0
1134,95,S101548,2025-03-04,Store Visit,Walk-in,N/A,7,0,294.98,True,101548.0,InStore,1038.0
1135,58,S101557,2025-03-15,Store Visit,Walk-in,N/A,7,3,399.96,True,101557.0,InStore,1007.0
1136,97,S101559,2025-03-24,Store Visit,Walk-in,N/A,9,2,79.99,True,101559.0,InStore,1031.0
1137,95,S101562,2025-03-28,Store Visit,Walk-in,N/A,9,2,84.99,True,101562.0,InStore,1005.0
1138,33,S101563,2025-03-10,Store Visit,Walk-in,N/A,4,3,319.97,True,101563.0,InStore,1043.0
1139,8,S101581,2025-03-03,Store Visit,Walk-in,N/A,7,2,94.99,True,101581.0,InStore,1015.0
1140,10,S101595,2025-03-06,Store Visit,Walk-in,N/A,8,3,69.99,True,101595.0,InStore,1009.0
1141,38,S101607,2025-03-18,Store Visit,Walk-in,N/A,3,5,84.99,True,101607.0,InStore,1043.0
1142,38,S101613,2025-03-13,Store Visit,Walk-in,N/A,4,3,172.98,True,101613.0,InStore,1038.0
1143,50,S101614,2025-03-06,Store Visit,Walk-in,N/A,1,5,129.99,True,101614.0,InStore,1005.0
1144,28,S101620,2025-03-25,Store Visit,Walk-in,N/A,10,0,509.97,True,101620.0,InStore,1043.0
1145,54,S101645,2025-03-23,Store Visit,Walk-in,N/A,5,1,59.99,True,101645.0,InStore,1037.0
1146,26,S101712,2025-04-08,Store Visit,Walk-in,N/A,4,2,129.99,True,101712.0,InStore,1003.0
1147,89,S101717,2025-04-08,Store Visit,Walk-in,N/A,10,0,259.98,True,101717.0,InStore,1044.0
1148,89,S101724,2025-04-20,Store Visit,Walk-in,N/A,2,1,304.98,True,101724.0,InStore,1020.0
1149,54,S101744,2025-04-16,Store Visit,Walk-in,N/A,3,4,279.97,True,101744.0,InStore,1034.0
1150,2,S101750,2025-04-26,Store Visit,Walk-in,N/A,3,4,459.98,True,101750.0,InStore,1038.0
1151,82,S101755,2025-04-07,Store Visit,Walk-in,N/A,1,0,324.97,True,101755.0,InStore,1002.0
1152,47,S101775,2025-04-18,Store Visit,Walk-in,N/A,1,5,299.97,True,101775.0,InStore,1029.0
1153,50,S101792,2025-04-23,Store Visit,Walk-in,N/A,9,2,34.99,True,101792.0,InStore,1038.0
1154,10,S101800,2025-04-02,Store Visit,Walk-in,N/A,5,3,519.97,True,101800.0,InStore,1007.0
1155,33,S101804,2025-04-24,Store Visit,Walk-in,N/A,1,3,149.99,True,101804.0,InStore,1005.0
1156,38,S101811,2025-04-21,Store Visit,Walk-in,N/A,1,1,74.99,True,101811.0,InStore,1003.0
1157,34,S101825,2025-04-07,Store Visit,Walk-in,N/A,5,3,39.99,True,101825.0,InStore,1004.0
1158,43,S101829,2025-04-30,Store Visit,Walk-in,N/A,2,3,59.99,True,101829.0,InStore,1002.0
1159,21,S101837,2025-04-21,Store Visit,Walk-in,N/A,2,5,149.99,True,101837.0,InStore,1025.0
1160,98,S101854,2025-04-02,Store Visit,Walk-in,N/A,1,0,299.99,True,101854.0,InStore,1034.0
1161,44,S101856,2025-04-12,Store Visit,Walk-in,N/A,2,4,169.98,True,101856.0,InStore,1046.0
1162,19,S101865,2025-04-07,Store Visit,Walk-in,N/A,8,3,264.98,True,101865.0,InStore,1029.0
1163,94,S101878,2025-04-17,Store Visit,Walk-in,118.0,3,3,42.99,True,101878.0,InStore,1010.0
1164,8,S101895,2025-04-06,Store Visit,Walk-in,N/A,7,5,439.97,True,101895.0,InStore,1022.0
1165,49,S101947,2025-05-03,Store Visit,Walk-in,N/A,2,4,202.98,True,101947.0,InStore,1012.0
1166,51,S101954,2025-05-21,Store Visit,Walk-in,N/A,1,3,169.99,True,101954.0,InStore,1023.0
1167,80,S101960,2025-05-25,Store Visit,Walk-in,N/A,3,0,229.99,True,101960.0,InStore,1044.0
1168,2,S101961,2025-05-08,Store Visit,Walk-in,N/A,5,2,164.98,True,101961.0,InStore,1003.0
1169,44,S101968,2025-05-16,Store Visit,Walk-in,N/A,9,2,359.98,True,101968.0,InStore,1007.0
1170,100,S101984,2025-05-14,Store Visit,Walk-in,N/A,1,3,149.99,True,101984.0,InStore,1033.0
1171,2,S102006,2025-05-08,Store Visit,Walk-in,N/A,6,0,254.98,True,102006.0,InStore,1043.0
1172,72,S102026,2025-05-08,Store Visit,Walk-in,N/A,1,0,94.99,True,102026.0,InStore,1019.0
1173,92,S102034,2025-05-24,Store Visit,Walk-in,N/A,4,1,349.98,True,102034.0,InStore,1016.0
1174,93,S102040,2025-05-23,Store Visit,Walk-in,N/A,5,0,239.97,True,102040.0,InStore,1015.0
1175,83,S102050,2025-05-30,Store Visit,Walk-in,N/A,4,4,94.99,True,102050.0,InStore,1041.0
1176,45,S102055,2025-05-18,Store Visit,Walk-in,N/A,6,5,34.99,True,102055.0,InStore,1018.0
1177,15,S102070,2025-05-17,Store Visit,Walk-in,N/A,4,4,169.99,True,102070.0,InStore,1011.0
1178,19,S102083,2025-05-12,Store Visit,Walk-in,N/A,4,5,272.98,True,102083.0,InStore,1037.0
1179,68,S102091,2025-05-29,Store Visit,Walk-in,N/A,7,4,74.99,True,102091.0,InStore,1047.0
1180,23,S102093,2025-05-06,Store Visit,Walk-in,N/A,6,5,169.99,True,102093.0,InStore,1005.0
1181,22,S102099,2025-05-10,Store Visit,Walk-in,105.0,3,4,99.99,True,102099.0,InStore,1030.0
1182,96,S102108,2025-05-28,Store Visit,Walk-in,N/A,1,1,319.97,True,102108.0,InStore,1041.0
1183,52,S102113,2025-05-03,Store Visit,Walk-in,N/A,3,4,74.99,True,102113.0,InStore,1022.0
1242,48,S102150,2025-06-25,Store Visit,Walk-in,N/A,8,3,229.98,True,102150.0,InStore,1041.0
1243,80,S102160,2025-06-28,Store Visit,Walk-in,N/A,4,4,404.96,True,102160.0,InStore,1022.0
1244,50,S102171,2025-06-30,Store Visit,Walk-in,N/A,1,3,89.99,True,102171.0,InStore,1003.0
1245,95,S102172,2025-06-18,Store Visit,Walk-in,N/A,9,1,914.96,True,102172.0,InStore,1003.0
1246,57,S102173,2025-06-23,Store Visit,Walk-in,N/A,10,4,59.99,True,102173.0,InStore,1045.0
1247,20,S102177,2025-06-18,Store Visit,Walk-in,N/A,9,4,49.99,True,102177.0,InStore,1035.0
1248,59,S102179,2025-06-18,Store Visit,Walk-in,N/A,7,3,169.99,True,102179.0,InStore,1025.0
1249,55,S102182,2025-06-24,Store Visit,Walk-in,N/A,10,5,199.97,True,102182.0,InStore,1030.0
1250,68,S102185,2025-06-15,Store Visit,Walk-in,N/A,7,4,229.97,True,102185.0,InStore,1031.0
1251,5,S102200,2025-06-05,Store Visit,Walk-in,N/A,7,5,129.99,True,102200.0,InStore,1036.0
1252,23,S102220,2025-06-28,Store Visit,Walk-in,N/A,1,3,84.99,True,102220.0,InStore,1004.0
1253,55,S102235,2025-06-28,Store Visit,Walk-in,N/A,7,1,419.98,True,102235.0,InStore,1033.0
1254,10,S102238,2025-06-15,Store Visit,Walk-in,N/A,10,3,179.98,True,102238.0,InStore,1046.0
1255,24,S102241,2025-06-07,Store Visit,Walk-in,106.0,2,5,255.97,True,102241.0,InStore,1042.0
1184,57,S100724,2024-10-26,Ad Click,Google,N/A,9,3,199.98,True,100724.0,Mobile App,N/A
1185,1,S100920,2024-11-23,Web View,TikTok,N/A,5,1,264.97,True,100920.0,Mobile App,N/A
1186,87,S100133,2024-07-02,Ad Click,Google,N/A,10,3,169.98,True,100133.0,Desktop,N/A
1187,83,S100152,2024-07-17,Email Open,Instagram,N/A,3,2,99.99,True,100152.0,Mobile App,N/A
1188,93,S100153,2024-07-12,Ad View,Instagram,N/A,1,1,229.98,True,100153.0,Mobile App,N/A
1189,16,S100136,2024-07-15,Web View,Direct,N/A,2,1,194.98,True,100136.0,Desktop,N/A
1190,99,S100163,2024-07-03,Ad Click,Google,N/A,10,1,299.99,True,100163.0,Mobile App,N/A
1191,65,S100309,2024-08-13,Web View,Email,N/A,3,4,119.99,True,100309.0,Desktop,N/A
1192,11,S100321,2024-08-30,Ad Click,TikTok,N/A,5,1,799.94,True,100321.0,Desktop,N/A
1193,56,S100329,2024-08-01,Web View,Instagram,N/A,5,4,129.99,True,100329.0,Desktop,N/A
1194,77,S100347,2024-08-22,Ad Click,Instagram,N/A,8,4,394.95,True,100347.0,Mobile App,N/A
1195,55,S100482,2024-09-10,Web View,Google,N/A,1,5,199.98,True,100482.0,Desktop,N/A
1196,7,S100493,2024-09-20,Ad Click,Google,127.0,7,0,44.99,True,100493.0,Desktop,N/A
1197,100,S100497,2024-09-26,Ad Click,Email,N/A,7,4,199.98,True,100497.0,Desktop,N/A
1198,68,S100505,2024-09-26,Ad Click,TikTok,N/A,10,4,394.97,True,100505.0,Desktop,N/A
1199,82,S100506,2024-09-26,Email Open,Google,N/A,7,4,174.98,True,100506.0,Mobile App,N/A
1200,48,S100507,2024-09-15,Ad Click,Facebook,N/A,10,3,74.99,True,100507.0,Desktop,N/A
1201,96,S100510,2024-09-19,Ad Click,Email,N/A,10,2,129.99,True,100510.0,Desktop,N/A
1202,97,S100514,2024-09-14,Ad View,Facebook,N/A,8,5,479.98,True,100514.0,Desktop,N/A
1203,49,S100518,2024-09-16,Ad View,Direct,N/A,9,3,259.97,True,100518.0,Mobile App,N/A
1204,11,S100525,2024-09-08,Web View,Instagram,N/A,3,4,89.99,True,100525.0,Mobile App,N/A
1205,8,S100695,2024-10-26,Ad View,Instagram,N/A,9,0,229.99,True,100695.0,Desktop,N/A
1206,89,S100713,2024-10-28,Email Open,TikTok,N/A,5,0,454.95,True,100713.0,Desktop,N/A
1207,40,S100896,2024-11-02,Ad Click,Instagram,N/A,4,3,159.99,True,100896.0,Mobile App,N/A
1208,31,S100904,2024-11-22,Ad View,Facebook,N/A,5,2,284.97,True,100904.0,Mobile App,N/A
1209,19,S100910,2024-11-03,Email Open,Direct,N/A,1,1,264.98,True,100910.0,Desktop,N/A
1210,43,S100912,2024-11-19,Ad Click,Facebook,N/A,6,2,609.96,True,100912.0,Mobile App,N/A
1211,6,S100925,2024-11-28,Ad View,Google,N/A,9,4,329.98,True,100925.0,Mobile App,N/A
1212,76,S101073,2024-12-11,Ad Click,Facebook,N/A,7,2,39.99,True,101073.0,Desktop,N/A
1213,76,S101091,2024-12-04,Ad Click,Instagram,N/A,7,3,44.99,True,101091.0,Desktop,N/A
1214,48,S101095,2024-12-02,Email Open,Google,N/A,10,1,319.98,True,101095.0,Mobile App,N/A
1215,26,S101107,2024-12-21,Ad Click,Google,N/A,1,4,269.97,True,101107.0,Mobile App,N/A
1216,87,S100702,2024-10-29,Ad View,TikTok,N/A,10,2,89.99,True,100702.0,Desktop,N/A
1217,34,S100711,2024-10-21,Ad Click,Facebook,N/A,6,4,159.99,True,100711.0,Desktop,N/A
1218,72,S100894,2024-11-07,Ad Click,Facebook,N/A,2,1,399.97,True,100894.0,Desktop,N/A
1219,36,S100901,2024-11-26,Ad Click,Instagram,112.0,8,5,254.97,True,100901.0,Mobile App,N/A
1220,82,S100917,2024-11-27,Ad View,Email,N/A,1,2,59.99,True,100917.0,Desktop,N/A
1221,91,S101080,2024-12-26,Ad Click,Instagram,N/A,7,0,129.99,True,101080.0,Desktop,N/A
1222,24,S101083,2024-12-25,Web View,Facebook,N/A,3,3,39.99,True,101083.0,Mobile App,N/A
1223,60,S101101,2024-12-12,Ad View,Email,N/A,8,2,209.98,True,101101.0,Mobile App,N/A
1224,99,S101233,2025-01-04,Ad View,Facebook,N/A,3,0,159.99,True,101233.0,Mobile App,N/A
1225,60,S101253,2025-01-27,Web View,Instagram,N/A,9,0,439.98,True,101253.0,Mobile App,N/A
1226,53,S101254,2025-01-21,Ad Click,Facebook,N/A,10,3,229.99,True,101254.0,Mobile App,N/A
1227,59,S101255,2025-01-21,Ad View,Facebook,N/A,4,2,269.97,True,101255.0,Mobile App,N/A
1228,37,S101434,2025-02-15,Ad View,Facebook,N/A,10,3,319.98,True,101434.0,Desktop,N/A
1229,60,S101466,2025-02-20,Ad Click,Google,N/A,10,2,119.98,True,101466.0,Mobile App,N/A
1230,25,S101467,2025-02-06,Ad View,Instagram,116.0,3,1,169.99,True,101467.0,Mobile App,N/A
1231,20,S101653,2025-03-08,Web View,Instagram,N/A,8,2,129.99,True,101653.0,Desktop,N/A
