TRANSACTION_ID,CUSTOMER_ID,ORDER_DATE,CHANNEL,STORE_ID,PAYMENT_METHOD,CARD_BANK,SUBTOTAL,DISCOUNT_AMOUNT,TAX_AMOUNT,SHIPPING_AMOUNT,TOTAL_AMOUNT,PROMO_CODE_USED,DEVICE_TYPE,FULFILLMENT_METHOD,RETURN_FLAG
101530,10,2025-03-01,Store,1009,Credit Card,,49.99,0.00,5.7,0.00,55.69,,,In-Store,false
101538,16,2025-03-16,Store,1026,Credit Card,,289.97,9.80,15.7,0.00,295.87,,,In-Store,false
101540,76,2025-03-06,Store,1025,Google Pay,,379.98,0.00,4.4,0.00,384.38,,,In-Store,false
101548,95,2025-03-04,Store,1038,Credit Card,,294.98,9.45,13.8,0.00,299.33,,,In-Store,false
101557,58,2025-03-15,Store,1007,Credit Card,,399.96,37.00,2.4,0.00,365.36,,,In-Store,false
101559,97,2025-03-24,Store,1031,Credit Card,,79.99,0.00,9.7,0.00,89.69,,,In-Store,false
101562,95,2025-03-28,Store,1005,Credit Card,,84.99,1.70,5.7,0.00,88.99,,,In-Store,false
101563,33,2025-03-10,Store,1043,Credit Card,,319.97,7.65,13.5,0.00,325.82,,,In-Store,false
101581,8,2025-03-03,Store,1015,PayPal,,94.99,0.00,13.4,0.00,108.39,,,In-Store,false
101595,10,2025-03-06,Store,1009,Apple Pay,,69.99,0.70,3.5,0.00,72.79,,,In-Store,false
101607,38,2025-03-18,Store,1043,Credit Card,,84.99,0.00,2.6,0.00,87.59,,,In-Store,false
101613,38,2025-03-13,Store,1038,Apple Pay,,172.98,0.00,4.9,0.00,177.88,,,In-Store,false
101614,50,2025-03-06,Store,1005,Credit Card,,129.99,0.00,3.0,0.00,132.99,,,In-Store,false
101620,28,2025-03-25,Store,1043,Credit Card,,509.97,35.70,6.2,0.00,480.47,,,In-Store,false
101645,54,2025-03-23,Store,1037,Credit Card,,59.99,0.00,4.5,0.00,64.49,,,In-Store,false
101712,26,2025-04-08,Store,1003,Credit Card,,129.99,3.90,3.6,0.00,129.69,,,In-Store,false
101717,89,2025-04-08,Store,1044,Credit Card,,259.98,0.00,8.8,0.00,268.78,,,In-Store,false
101724,89,2025-04-20,Store,1020,Credit Card,,304.98,5.25,7.5,0.00,307.23,,,In-Store,false
101744,54,2025-04-16,Store,1034,Credit Card,,279.97,0.00,8.4,0.00,288.37,,,In-Store,false
101750,2,2025-04-26,Store,1038,Credit Card,,459.98,4.80,13.0,0.00,468.18,,,In-Store,false
101755,82,2025-04-07,Store,1002,Credit Card,,324.97,1.35,14.6,0.00,338.22,,,In-Store,false
101775,47,2025-04-18,Store,1029,PayPal,,299.97,9.80,4.5,0.00,294.67,,,In-Store,false
101792,50,2025-04-23,Store,1038,Apple Pay,,34.99,0.00,14.8,0.00,49.79,,,In-Store,false
101800,10,2025-04-02,Store,1007,Debit Card,,519.97,0.00,5.3,0.00,525.27,,,In-Store,false
101804,33,2025-04-24,Store,1005,Google Pay,,149.99,3.00,3.8,0.00,150.79,,,In-Store,false
101811,38,2025-04-21,Store,1003,Credit Card,,74.99,0.00,6.6,0.00,81.59,,,In-Store,false
101825,34,2025-04-07,Store,1004,Credit Card,,39.99,0.00,10.1,0.00,50.09,,,In-Store,false
101829,43,2025-04-30,Store,1002,Credit Card,,59.99,3.00,5.9,0.00,62.89,,,In-Store,false
101837,21,2025-04-21,Store,1025,Credit Card,,149.99,34.50,14.5,0.00,129.99,,,In-Store,false
101854,98,2025-04-02,Store,1034,Credit Card,,299.99,0.00,15.4,0.00,315.39,,,In-Store,false
101856,44,2025-04-12,Store,1046,Credit Card,,169.98,0.00,5.3,0.00,175.28,,,In-Store,false
101865,19,2025-04-07,Store,1029,Credit Card,,264.98,0.00,8.0,0.00,272.98,,,In-Store,false
101878,94,2025-04-17,Store,1010,Debit Card,,42.99,1.72,2.5,0.00,43.77,,,In-Store,false
101895,8,2025-04-06,Store,1022,Credit Card,,439.97,0.00,5.6,0.00,445.57,,,In-Store,false
101947,49,2025-05-03,Store,1012,Credit Card,,202.98,0.00,5.0,0.00,207.98,,,In-Store,false
101954,51,2025-05-21,Store,1023,Credit Card,,169.99,13.60,4.2,0.00,160.59,,,In-Store,false
101960,80,2025-05-25,Store,1044,Credit Card,,229.99,0.00,3.1,0.00,233.09,,,In-Store,false
101961,2,2025-05-08,Store,1003,Credit Card,,164.98,0.70,7.3,0.00,171.58,,,In-Store,false
101968,44,2025-05-16,Store,1007,Credit Card,,359.98,16.10,3.4,0.00,347.28,,,In-Store,false
101984,100,2025-05-14,Store,1033,Credit Card,,149.99,0.00,5.0,0.00,154.99,,,In-Store,false
102006,2,2025-05-08,Store,1043,Credit Card,,254.98,26.35,10.1,0.00,238.73,,,In-Store,false
102026,72,2025-05-08,Store,1019,Credit Card,,94.99,0.00,2.9,0.00,97.89,,,In-Store,false
102034,92,2025-05-24,Store,1016,Credit Card,,349.98,0.00,2.9,0.00,352.88,,,In-Store,false
102040,93,2025-05-23,Store,1015,Credit Card,,239.97,0.50,6.3,0.00,245.77,,,In-Store,false
102050,83,2025-05-30,Store,1041,Credit Card,,94.99,0.00,5.1,0.00,100.09,,,In-Store,false
102055,45,2025-05-18,Store,1018,Credit Card,,34.99,0.00,5.7,0.00,40.69,,,In-Store,false
102070,15,2025-05-17,Store,1011,Credit Card,,169.99,1.70,4.8,0.00,173.09,,,In-Store,false
102083,19,2025-05-12,Store,1037,Credit Card,,272.98,23.00,8.6,0.00,258.58,,,In-Store,false
102091,68,2025-05-29,Store,1047,Credit Card,,74.99,0.00,12.8,0.00,87.79,,,In-Store,false
102093,23,2025-05-06,Store,1005,Apple Pay,,169.99,0.00,5.8,0.00,175.79,,,In-Store,false
102099,22,2025-05-10,Store,1030,Credit Card,,99.99,9.00,6.8,0.00,97.79,,,In-Store,false
102108,96,2025-05-28,Store,1041,Credit Card,,319.97,8.00,5.9,0.00,317.87,,,In-Store,false
102113,52,2025-05-03,Store,1022,Credit Card,,74.99,0.75,2.9,0.00,77.14,,,In-Store,false
100724,57,2024-10-26,Mobile App,,Credit Card,,199.98,14.70,3.3,0.00,188.58,,Mobile App,BOPIS,false
100920,1,2024-11-23,Mobile App,,PayPal,,264.97,13.00,14.1,0.00,266.07,,Mobile App,BOPIS,false
100133,87,2024-07-02,Online,,Credit Card,,169.98,5.10,5.0,17.00,186.88,,Desktop,Ship,false
100152,83,2024-07-17,Mobile App,,Credit Card,,99.99,3.00,5.2,0.00,102.19,,Mobile App,Ship,false
100153,93,2024-07-12,Mobile App,,Debit Card,,229.98,17.20,4.2,23.00,239.98,,Mobile App,Ship,false
100136,16,2024-07-15,Online,,Google Pay,,194.98,0.00,12.4,19.50,226.88,,Desktop,Ship,false
100163,99,2024-07-03,Mobile App,,Credit Card,,299.99,30.00,6.7,30.00,306.69,,Mobile App,Ship,false
100309,65,2024-08-13,Online,,Credit Card,,119.99,2.40,6.0,0.00,123.59,,Desktop,Ship,false
100321,11,2024-08-30,Online,,PayPal,,799.94,15.20,4.4,79.99,869.13,,Desktop,Ship,false
100329,56,2024-08-01,Online,,Credit Card,,129.99,0.00,3.4,0.00,133.39,,Desktop,Ship,false
100347,77,2024-08-22,Mobile App,,PayPal,,394.95,6.00,6.9,0.00,395.85,,Mobile App,Ship,false
100482,55,2024-09-10,Online,,Credit Card,,199.98,16.00,7.7,0.00,191.68,,Desktop,Ship,false
100493,7,2024-09-20,Online,,Credit Card,,44.99,12.15,12.4,4.50,49.74,,Desktop,Ship,false
100497,100,2024-09-26,Online,,Credit Card,,199.98,0.00,6.0,20.00,225.98,,Desktop,Ship,false
100505,68,2024-09-26,Online,,Credit Card,,394.97,21.20,5.1,39.50,418.37,,Desktop,Ship,false
100506,82,2024-09-26,Online,,Credit Card,,174.98,13.00,11.8,17.50,191.28,,Mobile App,Ship,false
100507,48,2024-09-15,Online,,Credit Card,,74.99,6.75,13.1,0.00,81.34,,Desktop,Ship,false
100510,96,2024-09-19,Online,,Credit Card,,129.99,6.50,6.7,13.00,143.19,,Desktop,Ship,false
100514,97,2024-09-14,Online,,PayPal,,479.98,0.00,14.5,0.00,494.48,,Desktop,Ship,false
100518,49,2024-09-16,Mobile App,,Credit Card,,259.97,2.25,5.3,26.00,289.02,,Mobile App,Ship,false
100525,11,2024-09-08,Mobile App,,Credit Card,,89.99,0.90,4.5,9.00,102.59,,Mobile App,Ship,false
100695,8,2024-10-26,Online,,Credit Card,,229.99,0.00,8.3,0.00,238.29,,Desktop,Ship,false
100713,89,2024-10-28,Online,,PayPal,,454.95,28.40,6.6,0.00,433.15,,Desktop,Ship,false
100896,40,2024-11-02,Online,,Google Pay,,159.99,0.00,12.0,0.00,171.99,,Mobile App,Ship,false
100904,31,2024-11-22,Online,,Google Pay,,284.97,15.00,3.1,0.00,273.07,,Mobile App,Ship,false
100910,19,2024-11-03,Online,,PayPal,,264.98,0.00,9.5,26.50,300.98,,Desktop,Ship,false
100912,43,2024-11-19,Online,,Credit Card,,609.96,6.90,11.3,0.00,614.36,,Mobile App,Ship,false
100925,6,2024-11-28,Mobile App,,Credit Card,,329.98,5.00,5.0,0.00,329.98,,Mobile App,Ship,false
101073,76,2024-12-11,Online,,Credit Card,,39.99,0.00,3.9,4.00,47.89,,Desktop,Ship,false
101091,76,2024-12-04,Online,,Credit Card,,44.99,4.50,9.0,0.00,49.49,,Desktop,Ship,false
101095,48,2024-12-02,Mobile App,,Credit Card,,319.98,0.00,12.8,32.00,364.78,,Mobile App,Ship,false
101107,26,2024-12-21,Mobile App,,Credit Card,,269.97,0.00,5.1,0.00,275.07,,Mobile App,Ship,false
100702,87,2024-10-29,Online,,Credit Card,,89.99,0.90,15.4,0.00,104.49,,Desktop,Ship,false
100711,34,2024-10-21,Online,,Credit Card,,159.99,0.00,3.9,0.00,163.89,,Desktop,Ship,false
100894,72,2024-11-07,Online,,Credit Card,,399.97,24.30,10.6,40.00,426.27,,Desktop,Ship,false
100901,36,2024-11-26,Online,,Credit Card,,254.97,73.09,13.8,0.00,195.68,,Mobile App,Ship,false
100917,82,2024-11-27,Online,,Credit Card,,59.99,0.00,5.7,0.00,65.69,,Desktop,Ship,false
101080,91,2024-12-26,Online,,Credit Card,,129.99,0.00,10.6,13.00,153.59,,Desktop,Ship,false
101083,24,2024-12-25,Online,,Apple Pay,,39.99,0.00,3.9,0.00,43.89,,Mobile App,Ship,false
101101,60,2024-12-12,Mobile App,,Credit Card,,209.98,11.70,3.4,0.00,201.68,,Mobile App,Ship,false
101233,99,2025-01-04,Online,,Credit Card,,159.99,8.00,14.5,0.00,166.49,,Mobile App,Ship,false
101253,60,2025-01-27,Online,,Credit Card,,439.98,7.50,11.2,0.00,443.68,,Mobile App,Ship,false
101254,53,2025-01-21,Online,,PayPal,,229.99,0.00,12.6,23.00,265.59,,Mobile App,Ship,false
101255,59,2025-01-21,Online,,Credit Card,,269.97,12.00,5.2,0.00,263.17,,Mobile App,Ship,false
101434,37,2025-02-15,Online,,Credit Card,,319.98,3.20,7.7,32.00,356.48,,Desktop,Ship,false
101466,60,2025-02-20,Mobile App,,Credit Card,,119.98,2.55,2.7,0.00,120.13,,Mobile App,Ship,false
101467,25,2025-02-06,Mobile App,,Credit Card,,169.99,0.00,11.7,0.00,181.69,,Mobile App,Ship,false
101653,20,2025-03-08,Online,,Credit Card,,129.99,0.00,14.6,0.00,144.59,,Desktop,Ship,false
101658,37,2025-03-09,Online,,Credit Card,,169.99,0.00,6.2,17.00,193.19,,Desktop,Ship,false
101668,5,2025-03-17,Online,,PayPal,,42.99,21.49,5.6,0.00,27.10,,Mobile App,Ship,false
101670,54,2025-03-06,Online,,Apple Pay,,229.99,16.10,6.5,0.00,220.39,,Mobile App,Ship,false
101681,57,2025-03-09,Online,,Google Pay,,429.97,1.00,4.8,0.00,433.77,,Desktop,Ship,false
101683,56,2025-03-23,Online,,Credit Card,,689.96,36.80,5.5,0.00,658.66,,Mobile App,Ship,false
101700,64,2025-03-31,Mobile App,,Credit Card,,74.99,7.50,5.7,0.00,73.19,,Mobile App,Ship,false
101910,87,2025-04-10,Online,,Credit Card,,127.98,4.30,3.6,12.80,140.08,,Desktop,Ship,false
101926,81,2025-04-19,Online,,Credit Card,,134.98,2.00,4.1,0.00,137.08,,Desktop,Ship,false
102135,25,2025-05-18,Mobile App,,Debit Card,,199.98,0.00,9.0,0.00,208.98,,Mobile App,Ship,false
102140,32,2025-05-29,Mobile App,,Credit Card,,169.99,0.00,14.2,17.00,201.19,,Mobile App,Ship,false
102150,48,2025-06-25,Store,1041,Credit Card,,229.98,7.80,7.5,0.00,229.68,,,In-Store,false
102160,80,2025-06-28,Store,1022,Credit Card,,404.96,3.60,8.6,0.00,409.96,,,In-Store,false
102171,50,2025-06-30,Store,1003,Credit Card,,89.99,5.40,5.4,0.00,89.99,,,In-Store,false
102172,95,2025-06-18,Store,1003,Credit Card,,914.96,7.40,4.8,0.00,912.36,,,In-Store,false
102173,57,2025-06-23,Store,1045,Credit Card,,59.99,0.00,5.3,0.00,65.29,,,In-Store,false
102177,20,2025-06-18,Store,1035,Credit Card,,49.99,1.50,5.2,0.00,53.69,,,In-Store,false
102179,59,2025-06-18,Store,1025,Credit Card,,169.99,0.00,5.9,0.00,175.89,,,In-Store,false
102182,55,2025-06-24,Store,1030,Credit Card,,199.97,16.70,15.2,0.00,198.47,,,In-Store,false
